fight_id,boss,loadout,difficulty,outcome,duration_s,n_events,recorded_utc
2025-09-23T08-54-43Z_83326,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,89.91,304,2025-09-23T08:56:13.236811+00:00
2025-09-23T08-56-42Z_2194,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,47.726,134,2025-09-23T08:57:29.921031+00:00
2025-09-23T08-58-36Z_16568,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,29.375,102,2025-09-23T08:59:05.947261+00:00
2025-09-23T08-59-07Z_47941,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,59.216,168,2025-09-23T09:00:07.160942+00:00
2025-09-23T09-00-11Z_11058,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,79.451,320,2025-09-23T09:01:30.509821+00:00
2025-09-23T09-01-32Z_92130,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,98.933,368,2025-09-23T09:03:11.064532+00:00
2025-09-23T09-03-13Z_93831,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,103.627,346,2025-09-23T09:04:57.459143+00:00
2025-09-23T09-04-59Z_99527,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,34.187,116,2025-09-23T09:05:33.714429+00:00
2025-09-23T09-05-35Z_35165,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,128.98,454,2025-09-23T09:07:44.147091+00:00
2025-09-23T09-08-22Z_2412,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,33.129,90,2025-09-23T09:08:55.541870+00:00
2025-09-23T09-08-59Z_39712,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,64.407,220,2025-09-23T09:10:04.118399+00:00
2025-09-23T09-10-04Z_4762,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,41.24,88,2025-09-23T09:10:46.003361+00:00
2025-09-23T09-10-46Z_46277,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,43.203,134,2025-09-23T09:11:29.481343+00:00
